Workers,model,auc,train_time,evaluate_time
2,DecisionTree,0.727101275,9.949197054,1.970145702
2,RandomForest,0.758275261,9.799652576,1.537898779
2,GBTClassifier,0.593965716,34.72316909,1.715137482
2,LogisticRegression,0.821617579,9.024700642,1.360889912
4,DecisionTree,0.685626016,10.4693923,4.045553923
4,RandomForest,0.756150407,9.399818182,1.694921732
4,GBTClassifier,0.615727642,37.2921052,1.403558493
4,LogisticRegression,0.824130081,8.557060957,1.151730061
6,DecisionTree,0.712894211,10.53150725,2.620609283
6,RandomForest,0.781389326,9.778761387,1.687600136
6,GBTClassifier,0.580444368,38.86428547,1.739243507
6,LogisticRegression,0.838627721,8.699816942,1.11686182
7,DecisionTree,0.684543243,10.81111741,3.087133408
7,RandomForest,0.736772614,9.801744938,1.660974503
7,GBTClassifier,0.616453812,40.44666576,1.373714924
7,LogisticRegression,0.814592536,10.16913319,1.175972462
